"日期","渠道","注册数"
"2017-07-11","haijieqian-hjieqian","1"
"2017-07-11","haijieqian-huawei","34"
"2017-07-11","haijieqian-jq-laijiezhijia","8"
"2017-07-11","haijieqian-jq-shundai","16"
"2017-07-11","haijieqian-meizu","21"
"2017-07-11","haijieqian-oppo","105"
"2017-07-11","haijieqian-sougou","7"
"2017-07-11","haijieqian-vivo","68"
"2017-07-11","haijieqian-wandoujia","142"
"2017-07-11","haijieqian-xiaomi","33"
"2017-07-11","haijieqian-yyb","196"
"2017-07-11","hjieqian","23"
"2017-07-11","jisuqiandai-leshi","7"
"2017-07-11","jisuqiandai-vivo","3"
"2017-07-11","jq-","17"
"2017-07-11","jq-haohaojie","7"
"2017-07-11","jq-laijiezhijia","128"
"2017-07-11","jq-shunda","650"
"2017-07-11","jq-shundai","144"
"2017-07-11","jq-wangdaixiaomao","3"
"2017-07-11","jq-yingyanqianbao","1"
"2017-07-11","kuaijiekuan-anzhi","2"
"2017-07-11","kuaijiekuan-baidu","2"
"2017-07-11","kuaijiekuan-huawei","7"
"2017-07-11","kuaijiekuan-oppo","28"
"2017-07-11","kuaijiekuan-sougou","2"
"2017-07-11","kuaijiekuan-vivo","14"
"2017-07-11","kuaijiekuan-yyb","24"
"2017-07-11","qianbaochaoren-leshi","1"
"2017-07-11","qianbaochaoren-vivo","1"
"2017-07-12","AppStore","444"
"2017-07-12","haidaikuan-anzhi","3"
"2017-07-12","haidaikuan-baidu","5"
"2017-07-12","haidaikuan-oppo","183"
"2017-07-12","haidaikuan-sougou","3"
"2017-07-12","haidaikuan-vivo","43"
"2017-07-12","haidaikuan-yyb","467"
"2017-07-12","haijieqian-360","50"
"2017-07-12","haijieqian-anzhi","9"
"2017-07-12","haijieqian-baidu","18"
"2017-07-12","haijieqian-hjieqian","2"
"2017-07-12","haijieqian-huawei","21"
"2017-07-12","haijieqian-jq-laijiezhijia","9"
"2017-07-12","haijieqian-jq-shundai","28"
"2017-07-12","haijieqian-meizu","15"
"2017-07-12","haijieqian-oppo","87"
"2017-07-12","haijieqian-sougou","3"
"2017-07-12","haijieqian-vivo","62"
"2017-07-12","haijieqian-wandoujia","109"
"2017-07-12","haijieqian-xiaomi","23"
"2017-07-12","haijieqian-yyb","210"
"2017-07-12","hjieqian","18"
"2017-07-12","jisuqiandai-leshi","5"
"2017-07-12","jisuqiandai-vivo","3"
"2017-07-12","jq-","16"
"2017-07-12","jq-haohaojie","8"
"2017-07-12","jq-laijiezhijia","112"
"2017-07-12","jq-shunda","643"
"2017-07-12","jq-shundai","125"
"2017-07-12","jq-yingyanqianbao","1"
"2017-07-12","jq-yinhangdai","3"
"2017-07-12","kuaijiekuan-anzhi","1"
"2017-07-12","kuaijiekuan-baidu","5"
"2017-07-12","kuaijiekuan-huawei","18"
"2017-07-12","kuaijiekuan-oppo","20"
"2017-07-12","kuaijiekuan-sougou","5"
"2017-07-12","kuaijiekuan-vivo","13"
"2017-07-12","kuaijiekuan-yyb","19"
"2017-07-12","qianbaochaoren-vivo","4"
"2017-07-12","qianbaochaoren-yyb","2"
"2017-07-13","","2"
"2017-07-13","AppStore","410"
"2017-07-13","haidaikuan-anzhi","3"
"2017-07-13","haidaikuan-baidu","6"
"2017-07-13","haidaikuan-oppo","93"
"2017-07-13","haidaikuan-sougou","2"
"2017-07-13","haidaikuan-vivo","42"
"2017-07-13","haidaikuan-yyb","534"
"2017-07-13","haijieqian-360","51"
"2017-07-13","haijieqian-anzhi","2"
"2017-07-13","haijieqian-baidu","28"
"2017-07-13","haijieqian-huawei","23"
"2017-07-13","haijieqian-jq-laijiezhijia","12"
"2017-07-13","haijieqian-jq-shundai","15"
"2017-07-13","haijieqian-meizu","18"
"2017-07-13","haijieqian-oppo","138"
"2017-07-13","haijieqian-sougou","5"
"2017-07-13","haijieqian-vivo","74"
"2017-07-13","haijieqian-wandoujia","122"
"2017-07-13","haijieqian-xiaomi","33"
"2017-07-13","haijieqian-yyb","209"
"2017-07-13","hjieqian","10"
"2017-07-13","jisuqiandai-leshi","4"
"2017-07-13","jisuqiandai-vivo","2"
"2017-07-13","jq-","19"
"2017-07-13","jq-daikuanshequ","1"
"2017-07-13","jq-haohaojie","8"
"2017-07-13","jq-kuailaiqian","1"
"2017-07-13","jq-laijiezhijia","112"
"2017-07-13","jq-shunda","575"
"2017-07-13","jq-shundai","92"
"2017-07-13","jq-yingyanqianbao","1"
"2017-07-13","jq-yinhangdai","2"
"2017-07-13","kuaijiekuan-anzhi","3"
"2017-07-13","kuaijiekuan-baidu","1"
"2017-07-13","kuaijiekuan-huawei","18"
"2017-07-13","kuaijiekuan-oppo","11"
"2017-07-13","kuaijiekuan-sougou","5"
"2017-07-13","kuaijiekuan-vivo","24"
"2017-07-13","kuaijiekuan-yyb","22"
"2017-07-13","qianbaochaoren-leshi","1"
"2017-07-13","qianbaochaoren-vivo","9"
"2017-07-13","qianbaochaoren-yyb","3"
"2017-07-14","anzhi","1"
"2017-07-14","AppStore","385"
"2017-07-14","haidaikuan-anzhi","3"
"2017-07-14","haidaikuan-baidu","6"
"2017-07-14","haidaikuan-oppo","8"
"2017-07-14","haidaikuan-sougou","1"
"2017-07-14","haidaikuan-vivo","47"
"2017-07-14","haidaikuan-yyb","562"
"2017-07-14","haijieqian-360","51"
"2017-07-14","haijieqian-baidu","18"
"2017-07-14","haijieqian-hjieqian","1"
"2017-07-14","haijieqian-huawei","22"
"2017-07-14","haijieqian-jq-haohaojie","3"
"2017-07-14","haijieqian-jq-laijiezhijia","5"
"2017-07-14","haijieqian-jq-shundai","23"
"2017-07-14","haijieqian-meizu","21"
