"日期","渠道","首贷订单数"
"2017-07-06","kuaijiekuan-vivo","28"
"2017-07-06","kuaijiekuan-yyb","43"
"2017-07-07","","1"
"2017-07-07","AppStore","464"
"2017-07-07","haidaikuan-baidu","7"
"2017-07-07","haidaikuan-oppo","155"
"2017-07-07","haidaikuan-sougou","1"
"2017-07-07","haidaikuan-vivo","59"
"2017-07-07","haidaikuan-yyb","420"
"2017-07-07","haijieqian-360","57"
"2017-07-07","haijieqian-anzhi","20"
"2017-07-07","haijieqian-AppStore","189"
"2017-07-07","haijieqian-baidu","16"
"2017-07-07","haijieqian-baidushichang","1"
"2017-07-07","haijieqian-bd01","6"
"2017-07-07","haijieqian-bugu","2"
"2017-07-07","haijieqian-h360","8"
"2017-07-07","haijieqian-hjieqian","23"
"2017-07-07","haijieqian-huawei","29"
"2017-07-07","haijieqian-hw01","2"
"2017-07-07","haijieqian-jq-","3"
"2017-07-07","haijieqian-jq-anxindai2","1"
"2017-07-07","haijieqian-jq-daikuanwang","2"
"2017-07-07","haijieqian-jq-haohaojie","9"
"2017-07-07","haijieqian-jq-huijiejiekuan","16"
"2017-07-07","haijieqian-jq-jinrong58","3"
"2017-07-07","haijieqian-jq-laijieqian","1"
"2017-07-07","haijieqian-jq-laijiezhijia","86"
"2017-07-07","haijieqian-jq-qianxin","1"
"2017-07-07","haijieqian-jq-rongyitui","6"
"2017-07-07","haijieqian-jq-shanyin","2"
"2017-07-07","haijieqian-jq-shunda","123"
"2017-07-07","haijieqian-jq-shundai","39"
"2017-07-07","haijieqian-jq-souyijie","9"
"2017-07-07","haijieqian-jq-wangdaixiaomao","1"
"2017-07-07","haijieqian-jq-yuyongjinfu","2"
"2017-07-07","haijieqian-jq-zhidejie","11"
"2017-07-07","haijieqian-leshi","2"
"2017-07-07","haijieqian-meizu","7"
"2017-07-07","haijieqian-mz01","2"
"2017-07-07","haijieqian-oppo","133"
"2017-07-07","haijieqian-oppo01","13"
"2017-07-07","haijieqian-sg01","1"
"2017-07-07","haijieqian-sougou","9"
"2017-07-07","haijieqian-vivo","99"
"2017-07-07","haijieqian-vivo01","7"
"2017-07-07","haijieqian-wandoujia","157"
"2017-07-07","haijieqian-xiaomi","65"
"2017-07-07","haijieqian-yingyongbao","16"
"2017-07-07","haijieqian-yingyonghui","3"
"2017-07-07","haijieqian-yyb","322"
"2017-07-07","haijieqian-yyb01","51"
"2017-07-07","hjieqian","6"
"2017-07-07","jisuqiandai-vivo","2"
"2017-07-07","jq-","12"
"2017-07-07","jq-haohaojie","8"
"2017-07-07","jq-laijiezhijia","93"
"2017-07-07","jq-rongyitui","1"
"2017-07-07","jq-shunda","512"
"2017-07-07","jq-shundai","104"
"2017-07-07","jq-wangdaixiaomao","5"
"2017-07-07","kuaijiekuan-360","2"
"2017-07-07","kuaijiekuan-anzhi","1"
"2017-07-07","kuaijiekuan-baidu","9"
"2017-07-07","kuaijiekuan-huawei","6"
"2017-07-07","kuaijiekuan-oppo","36"
"2017-07-07","kuaijiekuan-sougou","1"
"2017-07-07","kuaijiekuan-vivo","46"
"2017-07-07","kuaijiekuan-yyb","56"
"2017-07-07","qianbaochaoren-yyb","2"
"2017-07-08","AppStore","383"
"2017-07-08","haidaikuan-anzhi","2"
"2017-07-08","haidaikuan-baidu","9"
"2017-07-08","haidaikuan-oppo","123"
"2017-07-08","haidaikuan-vivo","39"
"2017-07-08","haidaikuan-yyb","402"
"2017-07-08","haijieqian-360","42"
"2017-07-08","haijieqian-anzhi","22"
"2017-07-08","haijieqian-AppStore","193"
"2017-07-08","haijieqian-baidu","19"
"2017-07-08","haijieqian-baidushichang","1"
"2017-07-08","haijieqian-bd01","3"
"2017-07-08","haijieqian-bugu","1"
"2017-07-08","haijieqian-h360","7"
"2017-07-08","haijieqian-hjieqian","19"
"2017-07-08","haijieqian-huawei","34"
"2017-07-08","haijieqian-hw01","4"
"2017-07-08","haijieqian-jq-","3"
"2017-07-08","haijieqian-jq-anxindai2","1"
"2017-07-08","haijieqian-jq-daikuanwang","4"
"2017-07-08","haijieqian-jq-haohaojie","7"
"2017-07-08","haijieqian-jq-huijiejiekuan","13"
"2017-07-08","haijieqian-jq-jinrong58","1"
"2017-07-08","haijieqian-jq-kuailaiqian","1"
"2017-07-08","haijieqian-jq-laijieqian","2"
"2017-07-08","haijieqian-jq-laijiezhijia","76"
"2017-07-08","haijieqian-jq-qianxin","1"
"2017-07-08","haijieqian-jq-rongyitui","5"
"2017-07-08","haijieqian-jq-shunda","105"
"2017-07-08","haijieqian-jq-shundai","30"
"2017-07-08","haijieqian-jq-souyijie","5"
"2017-07-08","haijieqian-jq-wangdaixiaomao","1"
"2017-07-08","haijieqian-jq-yinhangdai","1"
"2017-07-08","haijieqian-jq-yuyongjinfu","3"
"2017-07-08","haijieqian-jq-zhidejie","11"
"2017-07-08","haijieqian-leshi","3"
"2017-07-08","haijieqian-meizu","10"
"2017-07-08","haijieqian-mz01","1"
"2017-07-08","haijieqian-oppo","115"
"2017-07-08","haijieqian-oppo01","10"
"2017-07-08","haijieqian-sougou","3"
"2017-07-08","haijieqian-vivo","76"
"2017-07-08","haijieqian-vivo01","6"
"2017-07-08","haijieqian-wandoujia","138"
"2017-07-08","haijieqian-xiaomi","45"
"2017-07-08","haijieqian-yingyongbao","12"
"2017-07-08","haijieqian-yingyonghui","2"
"2017-07-08","haijieqian-yyb","263"
"2017-07-08","haijieqian-yyb01","39"
"2017-07-08","hjieqian","4"
"2017-07-08","jisuqiandai-vivo","3"
"2017-07-08","jq-","26"
"2017-07-08","jq-daikuanshequ","1"
"2017-07-08","jq-haohaojie","8"
"2017-07-08","jq-laijiezhijia","129"
"2017-07-08","jq-rongyitui","1"
"2017-07-08","jq-shunda","496"
"2017-07-08","jq-shundai","83"
"2017-07-08","jq-wangdaixiaomao","1"
"2017-07-08","kuaijiekuan-anzhi","4"
"2017-07-08","kuaijiekuan-baidu","9"
"2017-07-08","kuaijiekuan-huawei","5"
"2017-07-08","kuaijiekuan-nduo","2"
"2017-07-08","kuaijiekuan-oppo","46"
"2017-07-08","kuaijiekuan-vivo","26"
"2017-07-08","kuaijiekuan-yyb","26"
"2017-07-08","qianbaochaoren-yyb","2"
"2017-07-09","","1"
"2017-07-09","anzhi","1"
"2017-07-09","AppStore","404"
"2017-07-09","haidaikuan-anzhi","1"
"2017-07-09","haidaikuan-baidu","14"
"2017-07-09","haidaikuan-oppo","138"
"2017-07-09","haidaikuan-sougou","1"
"2017-07-09","haidaikuan-vivo","56"
"2017-07-09","haidaikuan-yingyonghui","1"
"2017-07-09","haidaikuan-yyb","456"
"2017-07-09","haijieqian-360","48"
"2017-07-09","haijieqian-anzhi","18"
"2017-07-09","haijieqian-AppStore","215"
"2017-07-09","haijieqian-baidu","20"
"2017-07-09","haijieqian-baidushichang","1"
"2017-07-09","haijieqian-bd01","4"
